"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32"
"cell_85" "2" "0" "8" "5" "0" "2" "0" "5" "5" "0" "0" "2" "2" "2" "3" "2" "4" "0" "3" "2" "4" "2" "0" "3" "2" "5" "3" "0" "0" "5" "2" "2"
"cell_86" "2" "0" "8" "5" "0" "2" "2" "5" "5" "0" "0" "2" "2" "2" "3" "2" "4" "0" "3" "2" "4" "2" "0" "3" "2" "5" "0" "2" "0" "5" "2" "2"
"cell_87" "2" "0" "8" "5" "0" "2" "0" "5" "5" "4" "0" "2" "2" "2" "3" "2" "4" "0" "3" "2" "4" "2" "0" "3" "2" "5" "0" "2" "0" "5" "2" "2"
"cell_88" "2" "0" "8" "5" "0" "2" "0" "5" "5" "4" "0" "2" "2" "2" "3" "2" "4" "2" "3" "2" "4" "2" "7" "3" "2" "5" "0" "0" "0" "5" "2" "2"
"cell_89" "2" "0" "8" "5" "0" "2" "0" "5" "5" "2" "0" "0" "2" "0" "3" "2" "4" "5" "3" "2" "4" "2" "0" "3" "2" "0" "2" "0" "2" "5" "2" "2"
"cell_90" "2" "0" "8" "5" "0" "2" "0" "5" "5" "2" "0" "0" "2" "2" "3" "2" "4" "5" "3" "2" "4" "2" "15" "3" "2" "0" "2" "0" "2" "5" "2" "2"
"cell_91" "2" "0" "8" "5" "0" "2" "2" "5" "5" "0" "0" "0" "2" "0" "3" "2" "4" "5" "3" "2" "4" "2" "0" "3" "2" "0" "2" "2" "2" "5" "2" "2"
"cell_92" "2" "0" "8" "5" "3" "2" "2" "5" "5" "0" "0" "0" "2" "0" "3" "2" "4" "5" "3" "2" "4" "2" "0" "3" "2" "0" "2" "0" "2" "5" "2" "2"
"cell_93" "2" "2" "8" "5" "0" "2" "0" "5" "5" "3" "0" "0" "2" "0" "3" "2" "4" "5" "3" "2" "4" "2" "0" "3" "2" "0" "2" "0" "0" "5" "2" "2"
"cell_94" "2" "0" "8" "5" "0" "2" "0" "5" "5" "3" "0" "0" "2" "0" "3" "2" "4" "5" "3" "2" "4" "2" "0" "3" "2" "0" "2" "0" "0" "5" "2" "2"
"cell_95" "2" "0" "8" "5" "0" "2" "0" "5" "5" "3" "0" "0" "2" "5" "3" "2" "4" "5" "3" "2" "4" "2" "0" "3" "2" "0" "2" "0" "0" "5" "2" "2"
"cell_96" "2" "0" "8" "5" "0" "2" "0" "5" "5" "3" "0" "0" "2" "0" "3" "2" "4" "5" "3" "2" "4" "2" "0" "3" "2" "0" "2" "0" "0" "5" "2" "2"
"cell_97" "2" "0" "8" "0" "2" "2" "2" "0" "2" "3" "0" "0" "0" "0" "14" "2" "4" "0" "3" "2" "4" "2" "2" "3" "2" "0" "0" "0" "0" "4" "2" "0"
"cell_98" "2" "0" "8" "0" "2" "2" "0" "0" "2" "3" "0" "2" "0" "2" "14" "2" "4" "0" "3" "2" "4" "2" "2" "3" "2" "0" "0" "0" "0" "4" "2" "0"
"cell_99" "2" "0" "8" "0" "2" "2" "0" "0" "2" "3" "0" "2" "0" "2" "14" "2" "4" "5" "3" "2" "4" "2" "2" "3" "2" "0" "0" "3" "0" "4" "2" "0"
"cell_100" "2" "0" "8" "0" "2" "2" "0" "0" "2" "3" "0" "2" "0" "0" "14" "2" "4" "0" "3" "2" "4" "2" "2" "3" "2" "0" "0" "3" "0" "4" "2" "0"
