"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33"
"4493.81" "0" "0" "0" "4" "2" "0" "0" "0" "0" "10" "0" "0" "0" "0" "0" "0" "2" "2" "2" "0" "0" "11" "0" "2" "2" "0" "0" "0" "0" "37" "3" "0" "1"
"4493.82" "2" "0" "0" "4" "2" "0" "2" "0" "0" "10" "0" "0" "0" "0" "0" "0" "2" "2" "2" "0" "0" "11" "0" "2" "2" "0" "0" "0" "0" "37" "3" "0" "1"
"4493.83" "0" "0" "0" "4" "2" "2" "0" "2" "2" "10" "0" "0" "0" "0" "0" "0" "2" "0" "2" "2" "3" "11" "0" "2" "2" "0" "0" "2" "0" "37" "3" "2" "1"
"4493.84" "0" "5" "0" "4" "2" "2" "0" "0" "2" "10" "2" "0" "2" "0" "2" "0" "2" "0" "2" "2" "3" "11" "0" "2" "2" "5" "0" "0" "0" "37" "3" "2" "1"
"4493.85" "0" "0" "2" "4" "2" "0" "6" "0" "0" "10" "2" "0" "0" "0" "2" "0" "2" "0" "2" "0" "0" "11" "0" "2" "2" "2" "19" "0" "0" "37" "3" "0" "1"
"4493.86" "0" "0" "0" "4" "2" "0" "6" "0" "0" "10" "30" "0" "0" "0" "2" "0" "2" "3" "2" "0" "0" "11" "0" "2" "2" "2" "19" "0" "0" "37" "3" "0" "1"
"4493.87" "0" "0" "0" "4" "2" "0" "0" "0" "0" "10" "0" "8" "0" "2" "0" "5" "2" "0" "2" "0" "2" "11" "0" "2" "2" "2" "0" "0" "3" "37" "3" "0" "1"
"4493.88" "0" "0" "0" "4" "2" "0" "2" "0" "0" "10" "0" "8" "0" "0" "0" "0" "2" "0" "2" "0" "2" "11" "0" "2" "2" "2" "0" "0" "0" "37" "3" "0" "1"
"4493.89" "2" "2" "0" "4" "2" "0" "8" "3" "2" "4" "4" "0" "0" "0" "0" "0" "2" "0" "2" "0" "0" "11" "0" "2" "2" "0" "5" "0" "0" "37" "3" "0" "1"
"4493.90" "2" "2" "0" "4" "2" "0" "8" "3" "2" "0" "0" "0" "0" "0" "0" "0" "2" "0" "2" "0" "0" "11" "0" "2" "2" "0" "5" "0" "0" "37" "3" "0" "1"
